ID,Company_Name,Social_Media_Platform,Social_Media_Usage_Hours,CRM_Usage_Score,Company_Performance_Satisfaction_Score,Social_Skills_Score,Social_Media_Sales_Intensity_Score
112,ConnectHub Co.,Instagram,2,5,6,5,4
113,GrowthTech Corp.,Facebook,3.9,9,9,8,8
114,MediaSphere Corp.,Twitter,2.4,5,6,6,3
115,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
116,MarketUp Co.,Instagram,3,8,9,7,5
117,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
118,LinkSphere Corp.,Twitter,3.5,9,9,8,7
119,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
120,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
121,SocialSphere Corp.,Facebook,3.4,8,9,8,7
122,MarketPro Inc.,Twitter,2.7,7,8,6,5
123,AlphaTech Inc.,LinkedIn,2,5,6,5,4
124,VisionSphere Corp.,Instagram,3.3,8,9,8,8
125,ConnectX Solutions,Facebook,2.2,6,7,5,3
126,SocialPro Inc.,Twitter,2.8,7,8,6,6
127,InnovateNow Solutions,LinkedIn,4.1,9,9,8,8
128,MediaTech Inc.,Instagram,1.7,5,6,5,3
129,LinkTech Solutions,Facebook,2.8,7,8,6,6
130,SocialWave Solutions,Twitter,3.4,8,9,8,7
131,NexTech Solutions,LinkedIn,2.7,7,8,6,5
132,ConnectHub Co.,Instagram,2,5,6,5,4
133,GrowthTech Corp.,Facebook,3.9,9,9,8,8
134,MediaSphere Corp.,Twitter,2.4,5,6,6,3
135,SuccessTech Solutions,LinkedIn,2.6,7,8,6,6
136,MarketUp Co.,Instagram,3,8,9,7,5
137,AlphaBiz Solutions,Facebook,1.9,5,6,5,4
138,LinkSphere Corp.,Twitter,3.5,9,9,8,7
139,ConnectXpert Co.,LinkedIn,2.1,6,7,7,5
140,TechAdvantage Inc.,Instagram,2.9,7,8,6,6
